date,close,drawdown_252,risk_score,dynamic_threshold,alert
1990-01-02,359.6900024,,0.49999999999999983,,0
1990-01-03,358.7600098,,0.49999999999999983,,0
1990-01-04,355.6700134,,0.4738095238095236,,0
1990-01-05,352.2000122,,0.4892857142857141,,0
1990-01-08,353.7900085,,0.487142857142857,,0
1990-01-09,349.6199951,,0.49571428571428555,,0
1990-01-10,347.3099976,,0.507142857142857,,0
1990-01-11,348.5299988,,0.5014285714285712,,0
1990-01-12,339.9299927,,0.4985714285714284,,0
1990-01-15,337.0,,0.507142857142857,,0
1990-01-16,340.75,,0.5099999999999998,,0
1990-01-17,337.3999939,,0.5042857142857141,,0
1990-01-18,338.1900024,,0.5099999999999998,,0
1990-01-19,339.1499939,,0.4985714285714284,,0
1990-01-22,330.3800049,,0.49571428571428555,,0
1990-01-23,331.6099854,,0.49571428571428555,,0
1990-01-24,330.2600098,,0.5042857142857141,,0
1990-01-25,326.0799866,,0.4985714285714284,,0
1990-01-26,325.7999878,,0.5042857142857141,,0
1990-01-29,325.2000122,,0.4985714285714284,,0
1990-01-30,322.980011,,0.5014285714285712,,0
1990-01-31,329.0799866,,0.4899999999999998,,0
1990-02-01,328.7900085,,0.4899999999999998,,0
1990-02-02,330.9200134,,0.4842857142857141,,0
1990-02-05,331.8500061,,0.4842857142857141,,0
1990-02-06,329.6600037,,0.48142857142857126,,0
1990-02-07,333.75,,0.4842857142857141,,0
1990-02-08,332.9599915,,0.48142857142857126,,0
1990-02-09,333.6199951,,0.4899999999999998,,0
1990-02-12,330.0799866,,0.49571428571428555,,0
1990-02-13,331.019989,,0.49285714285714266,,0
1990-02-14,332.0100098,,0.487142857142857,,0
1990-02-15,334.8900146,,0.4842857142857141,,0
1990-02-16,332.7200012,,0.48142857142857126,,0
1990-02-20,327.9899902,,0.4842857142857141,,0
1990-02-21,327.6700134,,0.49285714285714266,,0
1990-02-22,325.7000122,,0.49285714285714266,,0
1990-02-23,324.1499939,,0.5099999999999998,,0
1990-02-26,328.6700134,,0.5099999999999998,,0
1990-02-27,330.2600098,,0.49571428571428555,,0
1990-02-28,331.8900146,,0.4785714285714284,,0
1990-03-01,332.7399902,,0.487142857142857,,0
1990-03-02,335.5400085,,0.46999999999999986,,0
1990-03-05,333.7399902,,0.4728571428571427,,0
1990-03-06,337.9299927,,0.4842857142857141,,0
1990-03-07,336.9500122,,0.49285714285714266,,0
1990-03-08,340.269989,,0.4842857142857141,,0
1990-03-09,337.9299927,,0.49571428571428555,,0
1990-03-12,338.6700134,,0.4985714285714284,,0
1990-03-13,336.0,,0.4985714285714284,,0
1990-03-14,336.8699951,,0.49571428571428555,,0
1990-03-15,338.0700073,,0.49285714285714266,,0
1990-03-16,341.9100037,,0.4899999999999998,,0
1990-03-19,343.5299988,,0.4842857142857141,,0
1990-03-20,341.5700073,,0.4842857142857141,,0
1990-03-21,339.7399902,,0.487142857142857,,0
1990-03-22,335.6900024,,0.49571428571428555,,0
1990-03-23,337.2200012,,0.4899999999999998,,0
1990-03-26,337.6300049,,0.48142857142857126,,0
1990-03-27,341.5,-0.05057133164288363,0.3921141694000317,,0
1990-03-28,342.0,-0.04918124574484983,0.393303209179534,,0
1990-03-29,340.7900085,-0.05254522998663147,0.4001971331268148,,0
1990-03-30,339.9400024,-0.05490839297233685,0.41160435728108985,,0
1990-04-02,338.7000122,-0.05835577875377729,0.4328840773616755,,0
1990-04-03,343.6400146,-0.04462172340879067,0.40497463951912016,,0
1990-04-04,341.0899963,-0.05171121236590703,0.41919631198194546,,0
1990-04-05,340.730011,-0.052712033343966014,0.42039729715561625,,0
1990-04-06,340.0799866,-0.05451921284760186,0.4225659125599793,,0
1990-04-09,341.3699951,-0.05093276759921428,0.40969074969048563,,0
1990-04-10,342.0700073,-0.048986613423871006,0.41878393610864506,,0
1990-04-11,341.9200134,-0.04940362223423311,0.41357006096679394,,0
1990-04-12,344.3399963,-0.042675654028687116,0.3940679276915673,,0
